net,length_um
net2,205.41µm
net7,151.19µm
net6,145.9µm
net8,135.3µm
net1,118.44µm
clk,114.57µm
net4,113.3µm
net5,111.98µm
net9,107.34µm
net3,105.94µm
net10,87.58µm
net11,77.52µm
clknet_1_1__leaf_clk,70.48µm
_09_,60.14µm
clknet_1_0__leaf_clk,57.18µm
_13_,27.32µm
clknet_0_clk,18.9µm
_08_,15.56µm
_12_,13.88µm
_11_,13.46µm
count[5],11.56µm
count[6],11.56µm
_10_,9.36µm
enable,9.3µm
count[0],8.96µm
count[1],8.96µm
net14,8.6µm
_01_,8.56µm
_00_,6.12µm
_15_,6.06µm
_05_,5.92µm
net13,5.84µm
count[4],5.75µm
count[7],5.75µm
_14_,5.72µm
net15,5.52µm
rst_n,5.07µm
count[2],5.07µm
count[3],5.07µm
overflow,5.07µm
net12,4.92µm
_07_,4.22µm
_02_,3.66µm
_16_,2.96µm
_04_,2.305µm
_17_,2.3µm
_03_,2.18µm
_06_,1.84µm
